time10,energy11,x13,y14,z15,coincidence22
9.73937533013884798061631e-08,5.106e-01,-1.037e+02,-6.710e+01,-8.560e+00,PhotoElectric
1.08863561612280026067232e-07,1.255e-01,1.037e+02,-5.655e+01,-7.579e+01,Compton
1.69836632602092011957352e-07,2.034e-01,-1.031e+02,1.820e+01,-3.255e+01,PhotoElectric
2.91086456714074876865280e-07,2.900e-01,-1.082e+02,-3.087e+01,-2.772e+01,Compton
2.91092387933187921964114e-07,7.707e-02,-1.069e+02,-3.203e+01,-2.800e+01,Compton
2.91093372280169962052073e-07,1.424e-01,-1.068e+02,-3.180e+01,-2.788e+01,PhotoElectric
5.37354620730160990081453e-07,6.796e-02,1.025e+02,-3.855e+01,-3.496e+01,Compton
5.37413734161371408427693e-07,4.427e-01,1.197e+02,-4.209e+01,-3.306e+01,PhotoElectric
6.01273302370861408818121e-07,2.315e-01,1.208e+02,6.964e+01,-5.243e+01,PhotoElectric
1.50633308269202573177270e-06,2.128e-01,1.005e+02,5.564e+01,-3.467e+01,PhotoElectric
1.82488279424191784114720e-06,4.409e-03,1.196e+02,-1.357e+01,2.287e+01,Compton
1.82485370138481762011101e-06,7.719e-02,-1.025e+02,6.405e+01,-4.301e+01,Compton
1.82491126898146691731291e-06,2.660e-01,-1.125e+02,6.896e+01,-5.622e+01,Compton
1.82493360561355860999125e-06,1.676e-01,-1.098e+02,6.414e+01,-5.240e+01,PhotoElectric
1.96775342981768365177575e-06,9.913e-02,1.033e+02,-7.579e+00,-5.929e+01,Compton
1.96776661520270657837906e-06,2.570e-01,1.050e+02,-4.392e+00,-6.090e+01,PhotoElectric
1.96784475421918624997485e-06,1.795e-01,-1.084e+02,5.348e+01,1.362e+00,Compton
1.96787839538738958301703e-06,1.943e-02,-1.168e+02,4.795e+01,1.123e+00,Compton
1.96795080451673657336085e-06,0.000e+00,-1.344e+02,3.859e+01,9.716e+00,RayleighScattering
2.34949592068245331874694e-06,3.201e-01,-1.075e+02,5.407e+00,-3.922e+01,Compton
2.34952210451637653041736e-06,1.916e-01,-1.016e+02,6.358e+00,-3.409e+01,PhotoElectric
2.42786193821014874082804e-06,5.088e-01,-1.142e+02,-5.387e+01,2.869e+01,PhotoElectric
2.68918399452550790199620e-06,1.125e-01,-1.081e+02,-8.016e+01,-5.362e+00,Compton
2.68920010847956929002063e-06,9.130e-02,-1.072e+02,-8.484e+01,-4.512e+00,Compton
2.68924352640657723497656e-06,1.724e-01,-1.194e+02,-8.741e+01,-8.483e+00,PhotoElectric
3.18351272212722379695684e-06,1.314e-01,1.093e+02,4.640e+01,3.656e+01,Compton
3.18355330090103881719981e-06,3.814e-01,1.179e+02,4.487e+01,4.500e+01,PhotoElectric
3.18338548467664650214702e-06,2.763e-01,-1.160e+02,4.141e+01,5.177e+01,Compton
3.18341724717871619600271e-06,2.329e-01,-1.138e+02,4.685e+01,5.926e+01,PhotoElectric
3.32918867733867356406108e-06,1.020e-01,-1.022e+02,-1.262e+01,-4.855e+01,Compton
3.32924201508606349970802e-06,4.100e-01,-1.080e+02,-2.645e+01,-4.302e+01,PhotoElectric
3.58888005659558542416671e-06,5.069e-02,-1.012e+02,3.123e+01,-1.136e+01,Compton
3.58900195020116603310712e-06,3.985e-02,-1.333e+02,3.108e+01,6.017e+00,Compton
3.58900561304579207935490e-06,1.535e-01,-1.340e+02,3.110e+01,6.914e+00,Compton
3.58902168143304013754233e-06,2.678e-01,-1.385e+02,3.216e+01,5.529e+00,PhotoElectric
3.58883348177155475156649e-06,2.903e-01,1.299e+02,2.531e+01,-1.649e+01,Compton
3.58884306902139108531803e-06,2.199e-01,1.291e+02,2.795e+01,-1.572e+01,PhotoElectric
4.06256488784754801881849e-06,1.975e-01,1.034e+02,8.167e+01,-2.464e+01,Compton
4.06257844481071304118362e-06,9.059e-03,1.027e+02,8.479e+01,-2.214e+01,Compton
4.06257972155292817231483e-06,0.000e+00,1.026e+02,8.499e+01,-2.183e+01,RayleighScattering
4.06258702474328773170988e-06,3.058e-01,1.020e+02,8.608e+01,-2.001e+01,PhotoElectric
4.06281755764050380130533e-06,7.249e-02,1.059e+02,4.248e+01,4.217e+01,Compton
4.06282037203460053470571e-06,1.060e-01,1.051e+02,4.243e+01,4.174e+01,PhotoElectric
4.47126523536705671309178e-06,3.409e-01,1.239e+02,-4.935e+01,1.878e+01,Compton
4.47126716151280355327456e-06,1.708e-01,1.234e+02,-4.904e+01,1.891e+01,PhotoElectric
4.95464486639228200552405e-06,2.634e-01,1.058e+02,1.935e+01,7.103e+01,Compton
4.95464844325167258286919e-06,3.460e-02,1.055e+02,1.833e+01,7.083e+01,Compton
4.95465559228517569311705e-06,1.781e-01,1.058e+02,1.743e+01,6.891e+01,PhotoElectric
4.95488355953035523599869e-06,3.679e-02,-1.261e+02,4.386e+01,-6.636e+01,Compton
4.95488603906235227080377e-06,2.986e-01,-1.267e+02,4.424e+01,-6.662e+01,Compton
4.95490034016433683361795e-06,1.765e-01,-1.236e+02,4.138e+01,-6.756e+01,PhotoElectric
5.43332197654254770916157e-06,0.000e+00,1.021e+02,-6.468e+01,2.773e+01,RayleighScattering
5.43334217050945856409367e-06,1.002e-01,1.079e+02,-6.628e+01,2.880e+01,Compton
5.43345261888912329785147e-06,2.226e-01,1.340e+02,-7.807e+01,1.233e+01,Compton
5.43348481081771915316217e-06,6.468e-02,1.262e+02,-7.555e+01,7.305e+00,Compton
5.43349443148733401797281e-06,1.230e-01,1.261e+02,-7.812e+01,8.612e+00,PhotoElectric
5.43319568159126862539644e-06,2.931e-01,-1.233e+02,1.855e+01,-6.367e+00,Compton
6.41916897267599665023339e-06,0.000e+00,1.152e+02,4.746e+01,4.319e+00,RayleighScattering
6.41918585462434801046025e-06,3.366e-01,1.199e+02,4.746e+01,6.132e+00,Compton
6.41918839515100970012857e-06,1.733e-01,1.193e+02,4.770e+01,5.841e+00,PhotoElectric
6.59606442564710464650582e-06,2.280e-01,-1.051e+02,-4.121e+01,-3.107e+01,PhotoElectric
7.04837239367951550768473e-06,1.558e-01,1.316e+02,2.628e+01,-3.933e+01,Compton
7.04839521924977715724471e-06,0.000e+00,1.361e+02,3.053e+01,-3.641e+01,RayleighScattering
7.04841106575210675326548e-06,4.344e-02,1.388e+02,3.399e+01,-3.467e+01,Compton
7.17722218708893061243047e-06,2.509e-01,1.186e+02,-1.865e+01,-4.521e+01,Compton
7.17722284549475135479032e-06,2.620e-01,1.185e+02,-1.861e+01,-4.539e+01,PhotoElectric
7.24007241980439790723229e-06,5.112e-01,1.070e+02,-3.516e+01,3.032e+01,Compton
7.24010414189715530137005e-06,3.492e-01,1.143e+02,-3.605e+01,2.438e+01,PhotoElectric
7.99133991933118957118158e-06,7.791e-02,1.081e+02,2.828e+00,-3.067e+01,Compton
7.99135708917290137510026e-06,2.651e-01,1.106e+02,7.267e+00,-3.117e+01,PhotoElectric
8.05768519167670999058840e-06,1.845e-01,1.010e+02,-4.999e+01,-7.388e+01,PhotoElectric
8.26167854284230513859603e-06,1.639e-01,-1.006e+02,-8.716e+01,4.599e+01,Compton
8.76755198507326784392295e-06,5.046e-02,1.311e+02,-7.302e+01,-7.413e+00,Compton
9.19592236193771335776240e-06,3.285e-01,1.260e+02,-1.286e-01,-7.414e+01,Compton
9.19594363180339878483492e-06,1.819e-01,1.225e+02,-9.478e-01,-6.889e+01,PhotoElectric
9.19575033274434962347454e-06,5.115e-01,-1.081e+02,4.676e+01,3.241e+01,PhotoElectric
9.64892695797958716192894e-06,6.099e-02,1.081e+02,3.335e+01,6.402e+01,Compton
9.64893592444047358373804e-06,1.241e-01,1.106e+02,3.238e+01,6.352e+01,Compton
9.64894142712972869831232e-06,3.245e-01,1.120e+02,3.302e+01,6.412e+01,PhotoElectric
9.64899037588480700694017e-06,3.071e-02,-1.116e+02,-6.430e+00,6.447e+01,Compton
9.64899455577251195380513e-06,1.153e-01,-1.128e+02,-6.173e+00,6.469e+01,Compton
9.64900731496459977026055e-06,6.206e-02,-1.150e+02,-9.184e+00,6.391e+01,Compton
9.64904502150035762097699e-06,4.656e-02,-1.090e+02,-1.871e+01,6.479e+01,Compton
9.64904570212310972192240e-06,0.000e+00,-1.089e+02,-1.869e+01,6.462e+01,RayleighScattering
9.64904660543151991710601e-06,5.097e-02,-1.087e+02,-1.872e+01,6.439e+01,Compton
9.64905786831222028992593e-06,9.235e-02,-1.108e+02,-1.762e+01,6.681e+01,PhotoElectric
1.01169554626051062389295e-05,1.327e-01,1.113e+02,-1.240e+00,1.557e+01,Compton
1.01169594080155650811818e-05,1.427e-01,1.106e+02,-5.898e-01,1.485e+01,PhotoElectric
1.09001518636891034716571e-05,3.383e-01,-1.179e+02,-4.534e+01,-6.823e+00,Compton
1.09001557368668829491520e-05,1.730e-01,-1.171e+02,-4.449e+01,-6.801e+00,PhotoElectric
1.13510191101400470596290e-05,5.117e-01,1.204e+02,-4.385e+01,-3.825e+01,PhotoElectric
1.17614868990447250113058e-05,3.717e-02,-1.116e+02,-4.180e+01,5.801e+01,Compton
